client_id,client_age,customer_since,bank_account,credit_card,mortgage,total_number_of_products,customer_income,customer_debt,city,Bank,Branch,use_of_digital_channels,use_of_branches,bank_service_message
FIGQ-3269-LAJH-0031,85,2001,no,yes,yes,1,122449.93,92852.7,Seattle,Chase , Seattle Pike Street,low,high,"My recent interactions with the bank have been disappointing, particularly related to poor loyalty offers. Customer support was slow to respond, and I encountered multiple obstacles while trying to resolve basic issues. The overall banking experience left much to be desired, pushing me to consider alternatives."
TXXO-5748-HWYF-7623,81,2003,yes,yes,no,1,226575.36,58165.51,San Francisco,Bank of America , Embarcadero,medium,low,"I've had an excellent experience with the bank's easy credit card replacement. Their team is consistently supportive, and using their services has made managing my finances much easier. From digital banking to in-person interactions, everything feels smooth and efficient. I highly recommend their service to anyone looking for reliability."
MZHC-3333-MWJS-9453,40,2014,yes,no,no,3,51643.31,299375.82,Los Angeles,Chase , Downtown LA,high,high,"My recent interactions with the bank have been disappointing, particularly related to app crashes during payment. Customer support was slow to respond, and I encountered multiple obstacles while trying to resolve basic issues. The overall banking experience left much to be desired, pushing me to consider alternatives."
SXCY-1364-FZYG-8522,57,2003,no,no,yes,3,208535.41,188565.88,Dallas,Wells Fargo , Main Street Dallas,low,medium,"I've had an excellent experience with the bank's mobile check deposits. Their team is consistently supportive, and using their services has made managing my finances much easier. From digital banking to in-person interactions, everything feels smooth and efficient. I highly recommend their service to anyone looking for reliability."
JCRV-2741-WZAO-6155,68,1992,no,yes,yes,3,164835.31,57639.2,Dallas,Wells Fargo , Main Street Dallas,medium,low,"My experience with the bank has been generally fine, especially regarding average service quality. There have been occasional issues but nothing too disruptive. Service is functional and gets the job done. I wouldn't call it exceptional, but it certainly meets most of my banking needs without much hassle."
UZQR-0028-USIR-2892,39,2006,no,no,no,0,216044.4,130749.59,Chicago,Bank of America , Magnificent Mile,low,medium,"My experience with the bank has been generally fine, especially regarding basic fraud alerts. There have been occasional issues but nothing too disruptive. Service is functional and gets the job done. I wouldn't call it exceptional, but it certainly meets most of my banking needs without much hassle."
THLR-4216-UVGZ-4101,81,2002,yes,yes,no,3,40695.82,114322.54,Los Angeles,Chase , Downtown LA,medium,low,"I've had an excellent experience with the bank's helpful financial advice. Their team is consistently supportive, and using their services has made managing my finances much easier. From digital banking to in-person interactions, everything feels smooth and efficient. I highly recommend their service to anyone looking for reliability."
SVJR-0257-JCTK-6431,48,2017,no,no,yes,3,155295.35,20525.95,Miami,Wells Fargo , Brickell Avenue,high,low,"My recent interactions with the bank have been disappointing, particularly related to poor customer service. Customer support was slow to respond, and I encountered multiple obstacles while trying to resolve basic issues. The overall banking experience left much to be desired, pushing me to consider alternatives."
TXGA-6611-ZSAQ-0939,23,2020,yes,no,no,1,97277.55,100324.65,Los Angeles,Chase , Downtown LA,high,low,"My recent interactions with the bank have been disappointing, particularly related to app crashes during payment. Customer support was slow to respond, and I encountered multiple obstacles while trying to resolve basic issues. The overall banking experience left much to be desired, pushing me to consider alternatives."
FFGO-7680-GCUK-1321,55,2022,yes,yes,yes,5,60669.69,329006.11,Seattle,Chase , Seattle Pike Street,medium,low,"I've had an excellent experience with the bank's quick mortgage approval. Their team is consistently supportive, and using their services has made managing my finances much easier. From digital banking to in-person interactions, everything feels smooth and efficient. I highly recommend their service to anyone looking for reliability."
ZGIM-6799-CBCV-9254,85,2008,yes,yes,no,4,41170.96,32565.67,Austin,Wells Fargo , Congress Avenue,high,high,"I've had an excellent experience with the bank's easy credit card replacement. Their team is consistently supportive, and using their services has made managing my finances much easier. From digital banking to in-person interactions, everything feels smooth and efficient. I highly recommend their service to anyone looking for reliability."
DJQS-1989-SCDF-3927,59,2013,yes,yes,yes,5,69910.56,190606.69,New York,Chase , 5th Avenue,high,low,"My experience with the bank has been generally fine, especially regarding good but glitchy app. There have been occasional issues but nothing too disruptive. Service is functional and gets the job done. I wouldn't call it exceptional, but it certainly meets most of my banking needs without much hassle."
